Comentario,Polaridad,Aspectos
la solucion de ellos tienen la mayoria de los requerimientos y secuencia logica,1,"solucion, mayoria"
incluye todos los requerimientos del caso de uso y existe funcionalidad entre los objetos,1,"requerimientos, caso"
la caratula no tiene errores ortograficos,1,"caratula, errores"
le falta llevar el orden en los casos de uso,-1,"orden, casos"
los procedimientos son incorrectos,-1,procedimientos
si posee fuincionalidad pero hay que mejorar en las relaciones con los cu,0,"fuincionalidad, relaciones"
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,1,"caratula, requerimientos"
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos pero presenta errores en los objetos y no tiene aplicada la herencia,0,"diagrama, caso"
el diagrama de caso de uso esta adecuado pero no se esta aplicando bien la herencia y el uso de include y extends,0,"diagrama, caso"
el diagrama de caso de uso tiene funcionamiento de algunos de los requerimientos pero en el caso del gerente el no registra contrato,0,"diagrama, caso"
la caratula no tiene errores ortograficos,1,"caratula, errores"
cumple con los elementos una sintaxis correcta pero no se encuentran los codigos de caso de uso por prioridad,0,"elementos, sintaxis"
cumple con la mayoria de los procesos le falta herencia de los actores empleado y gerente y la secuencia logica se encuentra de una manera clara y entendible,1,"mayoria, procesos"
cumple con todos los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados,1,"requerimientos, caso"
la caratula esta completa y el enunciado sin errores,1,"caratula, completa"
la estructura se muestra bien clara sin errores de sintaxis pero se observa que no tiene el codigo de caso de uso,0,"estructura, errores"
el procedimiento se observa bastante simple con aplicacion de includes y nula aplicacion de extends ademas de que algunos casos de usos terminan sin algun proceso,0,"procedimiento, includes"
la funcionalidad podria darse correctamente pero no abarca todos los requerimientos,0,"funcionalidad, requerimientos"
el documento consta de todo lo necesario dentro de la caratula y asi mismo no contiene errores ortograficos en el contenido mostrando una buena presentacion,1,"documento, caratula"
dentro de la estructura no contiene todos los elementos esta incompleto mostrando la falta de aplicacion de herencia codigos de caso de uso y eso muestra un desorden dentro de lo que se desea mostrar,-1,"estructura, elementos"
en el procedimiento se indica que no se hace uso de la aplicacion del extend aunque no es obligatorio es recomendable al menor tener uno o dos,-1,"procedimiento, uso"
no incluye todos los requerimientos del caso de uso pero los casos de uso mostrando si tienen una funcionalidad de algunos requerimientos,0,"requerimientos, caso"
en la caratula le falto poner la carrera en que estudia,-1,"caratula, carrera"
le falto los codigos de asignacion,-1,"codigos, asignacion"
aplica bien los include y la herencia pero falto mas logica,0,herencia
en el funcionamiento hace include de algo que no se a registrado,-1,"funcionamiento, include"
la caratula tiene errores ortograficos,-1,"caratula, errores"
en los casos de usos no existe el codigo de prioridad que lo identifique,-1,"casos, usos"
no existe la aplicacion de extend entre los casos de usos no hay una secuencia logica entre el gerente y los casos de usos consultar usuario consultar automovil y consultar furgoneta,-1,"extend, casos"
no existe la funcionalidad de gestionar las altas y bajas de los vehiculos por parte del gerente por lo tanto no hay una secuencia logica ya que no se puede reservar un automovil si no existe un registro anterior,-1,"funcionalidad, bajas"
la caratula tiene errores ortograficos,-1,"caratula, errores"
si cumple con la secuencia y indica cada caso de uso con verbo  objeto,1,"secuencia, caso"
no tiene ningun extend no tiene su respectivo codigo generar reserva deberia ser extend y en el cliente no se puede eliminar una reserva sin antes haberla consultado,-1,"codigo, reserva"
el funcionamiento es parcialmente correcto el gerente debe consultas informes tambien,0,"funcionamiento, gerente"
la caratula tiene errores ortograficos,-1,"caratula, errores"
las estructura se entiende y esta ordenada,1,estructura
falta implementar herencia,-1,herencia
el funcionamiento es parcialmente no es correcto no hay validacion para saber si el usuario ya esta logueado,-1,"funcionamiento, validacion"
la caratula no contiene el nombre de la carrera ni del trabajo entregado y su enunciado consta con menos de  errores ortograficos,-1,"caratula, nombre"
muestra la mayoria elementos aunque usa objetos que no estan previamente creados no usa la sintaxis correcta para describir los casos de uso y tampoco se le ha colocado sus respectivos codigos por lo cual no se encuentran ordenados la herencia entre actores no cumplen con los requerimientos solicitados,-1,"mayoria, elementos"
como se menciona anteriormente la herencia no esta aplicada de forma correspondiente con los requerimientos y no hace uso del extend y existen errores en la aplicacion de los casos de uso porque no se tiene claro que hace el cliente y el empleado,-1,"herencia, aplicada"
el funcionamiento presenta varios errores motivo por el cual la solucian tiene una funcionalidad incorrecta de algunos de los requerimientos descritos en el caso de estudio,-1,"funcionamiento, errores"
el documento contiene falta ortografica en la fecha del periodo academico el documento no contiene el tema del trabajo,-1,"documento, falta"
el documento no contiene los codigos de sus respectivos casos de usos,-1,"documento, codigos"
el documento no cumple con los requerimientos del uso del extends,-1,"documento, requerimientos"
el documento obtiene la solucion de una manera concreta,1,"documento, solucion"
la caratula no tiene errores ortograficos,1,"caratula, errores"
tiene alguno de los elementos le falta codigo en los casos de uso no esta ordenado,0,"elementos, codigo"
la mayoria de los procesos no tienen secuencia logica y aplican objetos diferentes lo que no permite una buena comunicacion entre casos de uso existe aplicacion de incluye de forma incorrecta,-1,"mayoria, procesos"
la mayoria de los casos de usos tienen funcionalidad incorrecta y no cumple con los requerimientos especificados,-1,"mayoria, casos"
en este parte no cumple con todo lo que estipula en el archivo falta nombre de carrera y error de al escribir el periodo,-1,"parte, archivo"
se visualizan casi todos los casos la aplicacion de include es incorrecto y no existen extend,-1,casos
en la parte del caso de uso generar reserva y consultar codigo esta de mas y estan realizando una cadena de includes,-1,"parte, caso"
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta el autenticar no cumple con todo lo estipulado en el caso practico,-1,"parte, gerente"
la caratula tiene errores ortograficos,-1,"caratula, errores"
los casos de uso no cuenta con codigo y utiliza mal la flecha de herencia,-1,"casos, uso"
solo aplica include y herencia,0,herencia
el funcionamiento es correcto,1,funcionamiento
la caratula presenta errores no contiene nombre de la carrera ni tema del trabajo el periodo academico existe error en el ano academico,-1,"caratula, errores"
no contiene el uso de extends ni herencia los casos de usos no tienen codigo y por ende no tiene orden,-1,"uso, herencia"
la aplicacion del include presenta errores al invocar casos de usos en los cuales se deberian usar extends para enviar informacion lo cual da a entender que no tiene una secuencia logica,-1,"errores, casos"
el caso de uso no tiene funcionamiento el caso de autor gerente le faltan la funcionalidad de dar de alta y baja,-1,"caso, uso"
no contiene el nombre de la carrera ni el tema,-1,"nombre, carrera"
se visualiza una sintaxis correcta no contienen los codigos de caso de uso por prioridad,0,"sintaxis, codigos"
cumple con los procesos include y extend y una herencia y estan conectados por una secuencia correcta a excepcion de un caso de uso en el actor gerente donde se encuentra un caso de uso no interactua con ninguno,1,"procesos, extend"
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con los objetos dados a excepcion de generar_informe porque se encuentra solo y no especifica que necesita hacer,1,"requerimientos, caso"
la caratula cuenta con todo lo requerido y el enunciado esta comprensible y sin errores ortograficos,1,"caratula, enunciado"
el diagrama cuenta con todos los elementos pero en la sintaxis los casos de uso no tiene codigo por lo que dificulta un poco el entendimiento del diagrama,0,"diagrama, elementos"
cuando el cliente autentica usuario invoca a una consulta por lo que no le veo un registro de cliente,-1,"cliente, consulta"
la funcionalidad del diagrama no muestra algunas cosas que se piden en los requerimientos como por ejemplo cancelar la reserva,-1,"funcionalidad, diagrama"
la caratula esta complete y el enunciado esta bien detallado,1,"caratula, complete"
los casos de uso no cuenta con un codigo y el entendimiento es un poco complicado no esta ordenado,-1,"casos, uso"
su secuencia logica esta bien definida con las comunicaciones de caso de uso,1,"secuencia, comunicaciones"
el diagrama cumple con la mayoria de los requerimientos que el sistema requiere como el de gestionar reserva y registrar con un contrato,1,"diagrama, mayoria"
la caratula no tiene errores ortograficos,1,"caratula, errores"
existe una buena comprension del caso de uso debido a que se encuentran la mayorias de elementos descritos en el caso de estudio,1,"comprension, caso"
la mayoria de los procesos cuentan con una secuencia logica al empleado le falta introducir el codigo de la reserva para registrar con exito un contrato,1,"mayoria, procesos"
la gran parte de los requerimientos cumple una funcionalidad idonea en base al caso de estudio,1,"parte, requerimientos"
la caratula cumple con todos los nombres descritos en la rubrica y ademas no posee errores ortograficos,1,"caratula, nombres"
el diagrama posee todos los elementos la sintaxis de todos los casos de uso es correcta exceptuando que no presenta el codigo de los casos de uso,0,"diagrama, elementos"
el proceso se cumple correctamente pero flaquea en la logica de algunos casos de uso,0,"proceso, casos"
algunos casos de uso tienen diferente verbos al momento de realizar include tiene la mayoria de requerimientos,0,"casos, uso"
la caratula consta de exceso de contenido mas de lo pedido el enunciado no contiene errores ortograficos,0,"caratula, exceso"
la estructura es facil de comprender la sintaxis no esta muy clara existen sentidos de flechas incorrectos y no se encuentra ordenado ya que no cuenta con el codigo en el objeto,-1,"estructura, sintaxis"
en el proceso de aplicar include existen incoherencia en la aplicacion la secuencia logica si esta clara,-1,"proceso, incoherencia"
no incluye todos los requerimientos del caso de estudio existen casos que no demuestran funcionalidad con el actor,-1,"requerimientos, caso"
la caratula no tiene errores ortograficos,1,"caratula, errores"
no tiene el codigo de caso de uso,-1,"codigo, caso"
la solucion presentada tiene pocos procesos con secuencia logica,-1,"solucion, procesos"
el diagrama muestra todos los requisitos solicitados,1,"diagrama, requisitos"
la caratula cumple todos los requerimientos sin faltas de ortografia,1,"caratula, requerimientos"
las estructura se entiende pero esta muy desordenada,0,estructura
falta implementar herencia y mas extends,-1,herencia
se cumplen con los requerimientos indicados,1,requerimientos
la caratula y el enunciado esta bien detallado como se pide en la rubrica de calificacion,1,"caratula, enunciado"
al diagrama le hace falta el codigo de caso de uso pero si es posible entender,0,"diagrama, falta"
algunos casos de uso que aplican include no tienen concordancia con respecto al objetos multiples objetos,-1,"casos, uso"
si cumple con la mayoria de los requerimientos de forma correcta,1,"mayoria, requerimientos"
contiene caratula y enunciado correcto,1,"caratula, enunciado"
tiene algunos elementos le falta codigo en los casos de uso la comunicacion entre algunos casos de uso es incorrecta,0,"elementos, codigo"
algunos procesos tienen secuencia logica el proceso registrar contrato no tiene secuencia logica,0,"procesos, secuencia"
algunos casos de usos tienen funcionalidad correcta y cumple con los requerimientos especificados,0,"casos, usos"
la caratula cumple con todos los requerimientos descritos en la rubrica y ademas no contiene errores ortograficos,1,"caratula, requerimientos"
los casos de estudio no contiene su respectiva numeracion para poder diferenciarlos,-1,"casos, estudio"
existen casos de uso que tienen include con las flechas en direccion contraria,-1,"casos, uso"
el empleado no tiene un caso de uso para poder registrar a un nuevo usuario  ademas no hay casos de uso para que el empleado valide el codigo de reserva web de los vehiculos,-1,"empleado, caso"
la caratula tiene la estructura adecuada,1,"caratula, estructura"
se visualizan todos los casos de uso tienen bien los include y extend pero no tienen el codigo del cada caso de uso,0,"casos, uso"
en la parte de crear usuario es incorrecto deberia consultar para validar el usuario,-1,"parte, usuario"
falta en la parte del gerente dar alta y baja a la flota y parte del cliente falta cancelar reserva no cumple con todo lo estipulado en el caso practico,-1,"parte, gerente"
la caratula no tiene errores ortograficos,1,"caratula, errores"
a la estructura le falta secuencia y no posee el orden en los casos de uso,-1,"estructura, secuencia"
la solucion presentada tiene pocos procesos con secuencia logica,-1,"solucion, procesos"
falta mejorar el funcionamiento de los casos de uso,-1,"funcionamiento, casos"
la caratula esta totalmente adecuada describe los requerimientos de lo que se desea obtener sin errores ortograficos,1,"caratula, requerimientos"
el diagrama de caso de uso esta bastante adecuado contiene casi todos los casos de usos,1,"diagrama, caso"
el diagrama de caso de uso tiene la mayoria de los procesos de forma correcta y se estan aplicando bien la herencia y el uso de include y extends,1,"diagrama, caso"
el diagrama de caso de uso tiene funcionamiento pero en el caso del gerente le falta la funcionalidad de dar de baja,0,"diagrama, caso"
la caratula tiene la estructura adecuada,1,"caratula, estructura"
se visualiza una sintaxis correcta pero no contienen los codigos de caso de uso,0,"sintaxis, codigos"
cumple con los procesos include extend y una herencia correcta y estan conectados por una secuencia correcta,1,"procesos, herencia"
cumple con los requerimientos dados en el caso de uso y su funcionalidad tiene interacciones con todos los objetos,1,"requerimientos, caso"
la caratula cumple con todos los parametros requeridos para la presentacion del trabajo y el documento cuenta con el enunciado de los requerimientos que describe la ejecucion del trabajo no existen errores ortograficos observacion debido a que el documentos esta impreso en bn algunos elementos del documento son complicados de leer,1,"caratula, parametros"
los casos de uso cumplen con la sintaxis de verbo en infinitivo  objeto no existen codigos para cada caso de uso por lo que no se determina una secuencia u orden de casos de uso no se aplica herencia existe una isla,-1,"casos, uso"
se aplica los estereotipos includes y extends de manera correcta entre casos de uso no existe aplicacion de herencia entre actores,0,"estereotipos, manera"
una de las funcionalidades registrar informes esta asociada con el actor incorrecto empleado quien hace los informes es el gerente y no especifica sobre que realiza los informes existe una isla,-1,"funcionalidades, informes"
el documento no tiene la facultad  tampoco la carrera ni el tema del trabajo,-1,"documento, carrera"
no tiene un orden de codigo ni comunicacion entre todos los actores ,-1,"orden, codigo"
no tiene correcta aplicacion de include extend y herencia de todos los casos de usos,-1,"herencia, casos"
no tiene una correcta funcionalidad entre todos los casos de usos,-1,"funcionalidad, casos"
la caratula contiene errores ortograficos,-1,"caratula, errores"
no tiene una correcta visualizacion de la solucion contiene la mayoria de los elementos pedidos pero hay uso de herencias,0,"solucion, mayoria"
no existen herencias la mayoria de los casos de uso existe comunicacion y si existe el correcto uso de extend e include si hay comunicacion entre los casos de uso pero en cierto casos de uso hay un mal uso del include,0,"herencias, mayoria"
al no encontrar tanto errores cumple con lo requerido pero no llega a un alto nivel de funcionamiento,0,"errores, nivel"
contiene menos de un error ortografico no contiene nombre de carrera y tampoco su facultad,-1,"error, nombre"
su orden si lo considero correcto pero faltan los codigos de los caso de uso,0,"orden, codigos"
faltan las herencias entre actores la cual indica que un actor no puede usar los caso de uso de los otros dos restantes por lo consiguiente las asociacion de casos de usos con actores no es completa,-1,"herencias, actores"
el funcionamiento es correcto,1,funcionamiento
no se puede visualizar bien los datos en la portada pero si contiene el enunciado,0,"datos, portada"
no tiene un orden no se puede visualizar bien tiene datos que no concuerdan el uso de las flechas no se sabe con exactitud de donde hacia donde va,-1,"orden, datos"
no se ha utilizado la herencia respectiva en el caso de estudio y no hay una buena comunicacion ya que no se utiliza el extends de la manera adecuada,-1,"herencia, caso"
cumple con la mayoria de los requerimientos solicitados pero no se llega a la funcionalidad requerida,0,"mayoria, requerimientos"
existen algunos errores ortograficos en la caratula y en los casos de usos los demas puntos estan correctos,0,"errores, caratula"
la estructura esta bien contiene correctamente los actores y sus respectivas comunicaciones pero hace falta el ordenamiento de los casos de usos con sus respectivos codigos de acuerdo a la prioridad de cada uno,0,"estructura, bien"
esta correctamente aplicado el uso de extends e includes pero se ha aplicado mal la herencia dandole funcionalidades que no respectan al empleado en cuanto a secuencia logica esta bien,0,"uso, includes"
la mayoria tiene el funcionamiento correcto pero existe un caso de uso el cual maneja mal el objeto y al momento de abstraer los datos no encontrara nada de lo requerido lo cual no es correcto ademas no se apega a los requerimientos del caso de estudio dando funcionalidades que no respectan al empleado asi mismo realiza herencias entre actores las cuales nunca fueron descritas,0,"mayoria, funcionamiento"
la caratula tiene errores ortograficos,-1,"caratula, errores"
falta codigo de caso de uso,-1,"codigo, caso"
falta herencia las flechas de los include y extend son poco visibles,-1,flechas
los casos de uso presentan la mayoria de los requerimientos e interactuan de una manera correcta,1,"casos, uso"
la caratula tiene errores ortograficos,-1,"caratula, errores"
el trabajo no posee una enumeracion de los casos de uso y no lleva un orden no posee herencia,-1,"trabajo, casos"
el trabajo no posee las flechas correspondiente de extend y include,-1,"trabajo, flechas"
el trabajo no posee una funcionalidad correcta a los requerimientos,-1,"trabajo, funcionalidad"
la estructura de la caratula y su contenido son correctos y en la descripcion del problema no se han encontrado faltas ortograficas,1,"estructura, caratula"
los casos de uso cumplen la relacion verbo infinitivo y verbo no hay codigos de casos de uso y existe una isla no se puede visualizar las flechas de aplicacion del include y extend y no existe herencia entre actores,-1,"casos, uso"
el diagrama presenta la aplicacion correcta entre casos de uso con include y extend aunque no hay existencia de herencia en el diagrama se puede ver una aplicacion logica y secuencial y una buena asociacion entre casos de uso por lo tanto la solucion tiene la mayoria de los procesos con secuencia logica,0,"diagrama, correcta"
incluye todos los requerimientos del caso de estudio el unico error es que vincula el registro de informes con el actor empleado cuando este corresponde al actor gerente aparte de esto los caso de uso demuestran funcionalidad e interaccion con el objeto,1,"requerimientos, caso"
la caratula es ilegible debido a tu tonalidad negra no se puede identificar los datos pedidos,-1,"caratula, tonalidad"
posee casi todos los elementos requeridos a excepcion de los codigos de casos de usos y la herencia los cuales no se encuentran en el documento,1,"elementos, excepcion"
posee las secuencias correspondientes a excepcion de la herencia en la cual no se encuentro yo se alcanza a distinguir,1,"secuencias, excepcion"
aunque tiene una funcionalidad correcta la creacion y consulta de los informe no pertenece al actor empleado sino al actor gerente,0,"funcionalidad, consulta"
la caratula del trabajo consta con todo y cada uno de los parametros solicitados el enunciado describe los requerimientos sin ningun error ortografico,1,"caratula, trabajo"
la estructura contiene todos los elementos solicitados la sintaxis no esta del todo correcta los verbos estan en infinitivo se combina de forma correcta el verbo y el objeto la comunicacion entre actores y casos de uso asi como entre casos de uso con otros casos de uso es correcta aplicando de forma correcta include y extends segun el enunciado no deberia haber herencia no existen islas y no se toma al sistema como un actor faltan los codigos en los casos de uso la estructura no esta ordenada ya que no hay codigos en cada caso de uso las lineas de conexion representan una asociacion adecuada entre el actor y los casos de uso asi como entre casos de uso,0,"estructura, elementos"
la solucion contiene la aplicacion de include y extend de forma correcta la herencia entre actores no se ha realizado de la forma correcta segun el analisis de los requerimientos no podria haber herencia entre los actores la solucion cuenta con un aplicacion logica y secuencial en la mayoria de las asociaciones entre actores y casos de usos por ejemplo el actor empleado no puede generar informes segun los requerimientos asi como el caso de uso reservarautomovil deberia actuar sobre el objeto alquiler y no sobre automovil,0,"solucion, extend"
la solucion cumple con hacer funcionales la mayoria de los requerimientos representados en varios casos de uso de manera correcta exceptuando los errores en la herencia en la asignacion incorrecta de funcionalidades al actor empleado y la incorrecta representacion del alquiler del objeto automovil,0,"mayoria, requerimientos"
la caratula no tiene errores ortograficos,1,"caratula, errores"
tiene algunos de los elementos le falta codigo en los casos de uso no esta ordenado la comunicacion entre algunos casos de uso es incorrecta,-1,"elementos, codigo"
algunos procesos no tiene secuencia logica manipula objetos con nombres diferentes el extend esta aplicado de forma incorrecta,-1,"procesos, secuencia"
algunos procesos no tiene funcionalidad correcta y no cumple con los requerimientos especificados,-1,"procesos, funcionalidad"
el documento se encuentra bien estructurado pero tiene algunas falta ortografica en la parte de la caratula falta tildes en palabras claves,0,"documento, falta"
los casos de uso le falta el codigo para poder distinguirlo por lo cual el resto del diagrama se encuentra bien estructurado,1,"casos, uso"
